RegionDescription,AÑO,CANTIDAD,CategoryName,CompanyName,ProductName
Eastern                                           ,1996,43.2000,Beverages,Berglunds snabbkp,Guaran Fantstica
Eastern                                           ,1996,186.0000,Beverages,Berglunds snabbkp,Rhnbru Klosterbier
Eastern                                           ,1996,384.0000,Meat/Poultry,Berglunds snabbkp,Pt chinois
Eastern                                           ,1996,864.0000,Beverages,Blondesddsl pre et fils,Chartreuse verte
Eastern                                           ,1996,2108.0000,Beverages,Blondesddsl pre et fils,Cte de Blaye
Eastern                                           ,1996,240.0000,Beverages,Blondesddsl pre et fils,Outback Lager
Eastern                                           ,1996,560.0000,Confections,Blondesddsl pre et fils,Maxilaku
Eastern                                           ,1996,556.0000,Dairy Products,Blondesddsl pre et fils,Mozzarella di Giovanni
Eastern                                           ,1996,936.0000,Meat/Poultry,Blondesddsl pre et fils,Alice Mutton
Eastern                                           ,1996,3465.0000,Meat/Poultry,Blondesddsl pre et fils,Thringer Rostbratwurst
Eastern                                           ,1996,165.2000,Meat/Poultry,Blondesddsl pre et fils,Tourtire
Eastern                                           ,1996,1092.0000,Produce,Blondesddsl pre et fils,Rssle Sauerkraut
Eastern                                           ,1996,310.0000,Beverages,Blido Comidas preparadas,Rhnbru Klosterbier
Eastern                                           ,1996,422.4000,Condiments,Blido Comidas preparadas,Chef Anton's Cajun Seasoning
Eastern                                           ,1996,249.6000,Grains/Cereals,Blido Comidas preparadas,Ravioli Angelo
Eastern                                           ,1996,1472.0000,Beverages,Bon app',Ipoh Coffee
Eastern                                           ,1996,1000.0000,Seafood,Bon app',Carnarvon Tigers
Eastern                                           ,1996,92.4000,Seafood,Bon app',Jack's New England Clam Chowder
Eastern                                           ,1996,360.0000,Beverages,Bottom-Dollar Markets,Outback Lager
Eastern                                           ,1996,788.0000,Confections,Bottom-Dollar Markets,Tarte au sucre
Eastern                                           ,1996,288.0000,Meat/Poultry,Bottom-Dollar Markets,Pt chinois
Eastern                                           ,1996,396.8000,Seafood,Bottom-Dollar Markets,Ikura
Eastern                                           ,1996,80.0000,Confections,Centro comercial Moctezuma,Sir Rodney's Scones
Eastern                                           ,1996,20.8000,Seafood,Centro comercial Moctezuma,Gravad lax
Eastern                                           ,1996,54.0000,Beverages,Chop-suey Chinese,Guaran Fantstica
Eastern                                           ,1996,403.2000,Meat/Poultry,Chop-suey Chinese,Pt chinois
Eastern                                           ,1996,168.0000,Produce,Chop-suey Chinese,Longlife Tofu
Eastern                                           ,1996,172.8000,Beverages,Drachenblut Delikatessen,Lakkalikri
Eastern                                           ,1996,74.4000,Beverages,Drachenblut Delikatessen,Rhnbru Klosterbier
Eastern                                           ,1996,200.0000,Dairy Products,Drachenblut Delikatessen,Gorgonzola Telino
Eastern                                           ,1996,201.6000,Dairy Products,Du monde entier,Gudbrandsdalsost
Eastern                                           ,1996,67.2000,Grains/Cereals,Du monde entier,Singaporean Hokkien Fried Mee
Eastern                                           ,1996,86.0000,Dairy Products,Eastern Connection,Flotemysost
Eastern                                           ,1996,864.0000,Dairy Products,Eastern Connection,Gudbrandsdalsost
Eastern                                           ,1996,760.0000,Beverages,Ernst Handel,Chang
Eastern                                           ,1996,4216.0000,Beverages,Ernst Handel,Cte de Blaye
Eastern                                           ,1996,1649.0000,Condiments,Ernst Handel,Chef Anton's Gumbo Mix
Eastern                                           ,1996,1193.5000,Condiments,Ernst Handel,Gula Malacca
Eastern                                           ,1996,168.0000,Condiments,Ernst Handel,Louisiana Fiery Hot Pepper Sauce
Eastern                                           ,1996,40.0000,Confections,Ernst Handel,Sir Rodney's Scones
Eastern                                           ,1996,120.0000,Dairy Products,Ernst Handel,Geitost
Eastern                                           ,1996,153.6000,Dairy Products,Ernst Handel,Mascarpone Fabioli
Eastern                                           ,1996,390.0000,Grains/Cereals,Ernst Handel,Ravioli Angelo
Eastern                                           ,1996,931.0000,Grains/Cereals,Ernst Handel,Wimmers gute Semmelkndel
Eastern                                           ,1996,1386.0000,Meat/Poultry,Ernst Handel,Thringer Rostbratwurst
Eastern                                           ,1996,400.0000,Produce,Ernst Handel,Longlife Tofu
Eastern                                           ,1996,473.2000,Produce,Ernst Handel,Rssle Sauerkraut
Eastern                                           ,1996,450.0000,Seafood,Ernst Handel,Carnarvon Tigers
Eastern                                           ,1996,100.1000,Seafood,Ernst Handel,Jack's New England Clam Chowder
Eastern                                           ,1996,720.0000,Beverages,Familia Arquibaldo,Chartreuse verte
Eastern                                           ,1996,37.2000,Beverages,Familia Arquibaldo,Rhnbru Klosterbier
Eastern                                           ,1996,112.0000,Confections,Familia Arquibaldo,NuNuCa Nu-Nougat-Creme
Eastern                                           ,1996,58.8000,Seafood,Familia Arquibaldo,Boston Crab Meat
Eastern                                           ,1996,380.0000,Beverages,Folk och f HB,Chang
Eastern                                           ,1996,103.2000,Dairy Products,Folk och f HB,Flotemysost
Eastern                                           ,1996,840.0000,Dairy Products,Folk och f HB,Queso Cabrales
Eastern                                           ,1996,318.0000,Seafood,Folk och f HB,Escargots de Bourgogne
Eastern                                           ,1996,724.5000,Seafood,Folk och f HB,Nord-Ost Matjeshering
Eastern                                           ,1996,364.8000,Beverages,Frankenversand,Chang
Eastern                                           ,1996,216.0000,Beverages,Frankenversand,Lakkalikri
Eastern                                           ,1996,597.6000,Confections,Frankenversand,Gumbr Gummibrchen
Eastern                                           ,1996,1032.0000,Dairy Products,Frankenversand,Flotemysost
Eastern                                           ,1996,560.0000,Dairy Products,Frankenversand,Gorgonzola Telino
Eastern                                           ,1996,1278.8000,Dairy Products,Frankenversand,Mozzarella di Giovanni
Eastern                                           ,1996,3080.0000,Dairy Products,Frankenversand,Raclette Courdavault
Eastern                                           ,1996,576.0000,Grains/Cereals,Frankenversand,Tunnbrd
Eastern                                           ,1996,768.0000,Meat/Poultry,Frankenversand,Pt chinois
Eastern                                           ,1996,735.0000,Seafood,Frankenversand,Boston Crab Meat
Eastern                                           ,1996,582.4000,Seafood,Frankenversand,Gravad lax
Eastern                                           ,1996,912.0000,Seafood,Frankenversand,Inlagd Sill
Eastern                                           ,1996,672.0000,Condiments,Furia Bacalhau e Frutos do Mar,Louisiana Fiery Hot Pepper Sauce
Eastern                                           ,1996,100.0000,Confections,Furia Bacalhau e Frutos do Mar,Scottish Longbreads
Eastern                                           ,1996,396.0000,Dairy Products,Furia Bacalhau e Frutos do Mar,Raclette Courdavault
Eastern                                           ,1996,252.0000,Condiments,Hanari Carnes,Louisiana Fiery Hot Pepper Sauce
Eastern                                           ,1996,1484.0000,Produce,Hanari Carnes,Manjimup Dried Apples
Eastern                                           ,1996,77.0000,Seafood,Hanari Carnes,Jack's New England Clam Chowder
Eastern                                           ,1996,86.4000,Beverages,HILARION-Abastos,Chartreuse verte
Eastern                                           ,1996,156.0000,Condiments,HILARION-Abastos,Original Frankfurter grne Soe
Eastern                                           ,1996,877.5000,Confections,HILARION-Abastos,Schoggi Schokolade
Eastern                                           ,1996,394.0000,Confections,Hungry Coyote Import Store,Tarte au sucre
Eastern                                           ,1996,48.0000,Seafood,Hungry Coyote Import Store,Konbu
Eastern                                           ,1996,860.0000,Dairy Products,Hungry Owl All-Night Grocers,Flotemysost
Eastern                                           ,1996,848.0000,Seafood,Hungry Owl All-Night Grocers,Escargots de Bourgogne
Eastern                                           ,1996,360.0000,Beverages,Island Trading,Outback Lager
Eastern                                           ,1996,156.8000,Beverages,Island Trading,Sasquatch Ale
Eastern                                           ,1996,57.6000,Beverages,Kniglich Essen,Chartreuse verte
Eastern                                           ,1996,62.0000,Condiments,Kniglich Essen,Genen Shouyu
Eastern                                           ,1996,120.0000,Condiments,Kniglich Essen,Grandma's Boysenberry Spread
Eastern                                           ,1996,44.8000,Confections,Kniglich Essen,NuNuCa Nu-Nougat-Creme
Eastern                                           ,1996,40.0000,Dairy Products,Kniglich Essen,Gorgonzola Telino
Eastern                                           ,1996,1112.0000,Dairy Products,Kniglich Essen,Mozzarella di Giovanni
Eastern                                           ,1996,167.4000,Produce,Kniglich Essen,Tofu
Eastern                                           ,1996,57.6000,Seafood,Kniglich Essen,Konbu
Eastern                                           ,1996,36.0000,Beverages,La maison d'Asie,Guaran Fantstica
Eastern                                           ,1996,112.0000,Beverages,La maison d'Asie,Sasquatch Ale
Eastern                                           ,1996,395.2000,Seafood,La maison d'Asie,Inlagd Sill
Eastern                                           ,1996,216.0000,Beverages,Lehmanns Marktstand,Lakkalikri
Eastern                                           ,1996,56.0000,Beverages,Lehmanns Marktstand,Laughing Lumberjack Lager
Eastern                                           ,1996,325.5000,Condiments,Lehmanns Marktstand,Gula Malacca
Eastern                                           ,1996,526.5000,Confections,Lehmanns Marktstand,Schoggi Schokolade
Eastern                                           ,1996,40.0000,Confections,Lehmanns Marktstand,Scottish Longbreads
Eastern                                           ,1996,544.0000,Dairy Products,Lehmanns Marktstand,Camembert Pierrot
Eastern                                           ,1996,1330.0000,Grains/Cereals,Lehmanns Marktstand,Wimmers gute Semmelkndel
Eastern                                           ,1996,398.4000,Confections,LILA-Supermercado,Gumbr Gummibrchen
Eastern                                           ,1996,217.6000,Dairy Products,LILA-Supermercado,Camembert Pierrot
Eastern                                           ,1996,744.0000,Seafood,LILA-Supermercado,Ikura
Eastern                                           ,1996,30.0000,Confections,Lonesome Pine Restaurant,Scottish Longbreads
Eastern                                           ,1996,394.0000,Confections,Lonesome Pine Restaurant,Tarte au sucre
Eastern                                           ,1996,43.2000,Beverages,Magazzini Alimentari Riuniti,Guaran Fantstica
Eastern                                           ,1996,408.0000,Condiments,Magazzini Alimentari Riuniti,Louisiana Hot Spiced Okra
Eastern                                           ,1996,200.0000,Confections,Magazzini Alimentari Riuniti,Scottish Longbreads
Eastern                                           ,1996,264.0000,Dairy Products,Magazzini Alimentari Riuniti,Raclette Courdavault
Eastern                                           ,1996,176.0000,Condiments,Mre Paillarde,Chef Anton's Cajun Seasoning
Eastern                                           ,1996,1103.2000,Confections,Mre Paillarde,Tarte au sucre
Eastern                                           ,1996,420.0000,Dairy Products,Mre Paillarde,Gorgonzola Telino
Eastern                                           ,1996,2184.0000,Meat/Poultry,Mre Paillarde,Alice Mutton
Eastern                                           ,1996,472.8000,Confections,Morgenstern Gesundkost,Tarte au sucre
Eastern                                           ,1996,728.0000,Produce,Morgenstern Gesundkost,Rssle Sauerkraut
Eastern                                           ,1996,624.0000,Meat/Poultry,Old World Delicatessen,Alice Mutton
Eastern                                           ,1996,310.5000,Seafood,Old World Delicatessen,Nord-Ost Matjeshering
Eastern                                           ,1996,252.0000,Beverages,Ottilies Kseladen,Outback Lager
Eastern                                           ,1996,591.0000,Confections,Ottilies Kseladen,Tarte au sucre
Eastern                                           ,1996,780.0000,Grains/Cereals,Ottilies Kseladen,Ravioli Angelo
Eastern                                           ,1996,123.2000,Seafood,Ottilies Kseladen,Jack's New England Clam Chowder
Eastern                                           ,1996,1440.0000,Dairy Products,Piccolo und mehr,Gudbrandsdalsost
Eastern                                           ,1996,80.0000,Confections,Princesa Isabel Vinhos,Sir Rodney's Scones
Eastern                                           ,1996,763.2000,Produce,Princesa Isabel Vinhos,Manjimup Dried Apples
Eastern                                           ,1996,288.0000,Beverages,Que Delcia,Steeleye Stout
Eastern                                           ,1996,336.0000,Condiments,Que Delcia,Louisiana Fiery Hot Pepper Sauce
Eastern                                           ,1996,561.6000,Condiments,Que Delcia,Vegie-spread
Eastern                                           ,1996,160.0000,Confections,Que Delcia,Sir Rodney's Scones
Eastern                                           ,1996,61.6000,Seafood,Que Delcia,Jack's New England Clam Chowder
Eastern                                           ,1996,8432.0000,Beverages,Queen Cozinha,Cte de Blaye
Eastern                                           ,1996,777.6000,Confections,Queen Cozinha,Sir Rodney's Marmalade
Eastern                                           ,1996,1904.0000,Dairy Products,Queen Cozinha,Camembert Pierrot
Eastern                                           ,1996,1167.6000,Dairy Products,Queen Cozinha,Mozzarella di Giovanni
Eastern                                           ,1996,648.0000,Beverages,QUICK-Stop,Chai
Eastern                                           ,1996,777.6000,Beverages,QUICK-Stop,Chartreuse verte
Eastern                                           ,1996,2240.0000,Condiments,QUICK-Stop,Northwoods Cranberry Sauce
Eastern                                           ,1996,584.0000,Confections,QUICK-Stop,Teatime Chocolate Biscuits
Eastern                                           ,1996,1496.0000,Dairy Products,QUICK-Stop,Camembert Pierrot
Eastern                                           ,1996,100.8000,Grains/Cereals,QUICK-Stop,Singaporean Hokkien Fried Mee
Eastern                                           ,1996,943.2000,Meat/Poultry,QUICK-Stop,Perth Pasties
Eastern                                           ,1996,588.0000,Seafood,QUICK-Stop,Boston Crab Meat
Eastern                                           ,1996,182.4000,Seafood,QUICK-Stop,Inlagd Sill
Eastern                                           ,1996,259.2000,Beverages,Rattlesnake Canyon Grocery,Chai
Eastern                                           ,1996,552.0000,Beverages,Rattlesnake Canyon Grocery,Ipoh Coffee
Eastern                                           ,1996,37.2000,Beverages,Rattlesnake Canyon Grocery,Rhnbru Klosterbier
Eastern                                           ,1996,3743.0000,Confections,Rattlesnake Canyon Grocery,Tarte au sucre
Eastern                                           ,1996,571.2000,Dairy Products,Rattlesnake Canyon Grocery,Camembert Pierrot
Eastern                                           ,1996,1024.0000,Dairy Products,Rattlesnake Canyon Grocery,Mascarpone Fabioli
Eastern                                           ,1996,468.0000,Meat/Poultry,Rattlesnake Canyon Grocery,Alice Mutton
Eastern                                           ,1996,318.0000,Seafood,Rattlesnake Canyon Grocery,Escargots de Bourgogne
Eastern                                           ,1996,77.0000,Seafood,Rattlesnake Canyon Grocery,Jack's New England Clam Chowder
Eastern                                           ,1996,30.0000,Confections,Reggiani Caseifici,Scottish Longbreads
Eastern                                           ,1996,59.0000,Meat/Poultry,Reggiani Caseifici,Tourtire
Eastern                                           ,1996,240.0000,Beverages,Ricardo Adocicados,Outback Lager
Eastern                                           ,1996,109.5000,Confections,Ricardo Adocicados,Teatime Chocolate Biscuits
Eastern                                           ,1996,21.6000,Beverages,Romero y tomillo,Guaran Fantstica
Eastern                                           ,1996,57.6000,Beverages,Romero y tomillo,Steeleye Stout
Eastern                                           ,1996,7.3000,Confections,Romero y tomillo,Teatime Chocolate Biscuits
Eastern                                           ,1996,31.2000,Grains/Cereals,Romero y tomillo,Ravioli Angelo
Eastern                                           ,1996,262.0000,Meat/Poultry,Romero y tomillo,Perth Pasties
Eastern                                           ,1996,29.5000,Meat/Poultry,Romero y tomillo,Tourtire
Eastern                                           ,1996,331.2000,Seafood,Romero y tomillo,Nord-Ost Matjeshering
Eastern                                           ,1996,54.0000,Beverages,Sant Gourmet,Guaran Fantstica
Eastern                                           ,1996,258.0000,Dairy Products,Sant Gourmet,Flotemysost
Eastern                                           ,1996,528.0000,Dairy Products,Sant Gourmet,Raclette Courdavault
Eastern                                           ,1996,218.4000,Produce,Sant Gourmet,Rssle Sauerkraut
Eastern                                           ,1996,380.0000,Beverages,Save-a-lot Markets,Chang
Eastern                                           ,1996,432.0000,Beverages,Save-a-lot Markets,Steeleye Stout
Eastern                                           ,1996,1743.0000,Confections,Save-a-lot Markets,Gumbr Gummibrchen
Eastern                                           ,1996,78.4000,Confections,Save-a-lot Markets,NuNuCa Nu-Nougat-Creme
Eastern                                           ,1996,320.0000,Dairy Products,Save-a-lot Markets,Gorgonzola Telino
Eastern                                           ,1996,2304.0000,Meat/Poultry,Save-a-lot Markets,Pt chinois
Eastern                                           ,1996,781.2000,Produce,Save-a-lot Markets,Tofu
Eastern                                           ,1996,288.0000,Beverages,Seven Seas Imports,Chartreuse verte
Eastern                                           ,1996,778.4000,Confections,Seven Seas Imports,Pavlova
Eastern                                           ,1996,2176.0000,Dairy Products,Seven Seas Imports,Camembert Pierrot
Eastern                                           ,1996,700.0000,Dairy Products,Seven Seas Imports,Gorgonzola Telino
Eastern                                           ,1996,112.0000,Grains/Cereals,Seven Seas Imports,Filo Mix
Eastern                                           ,1996,1048.0000,Meat/Poultry,Seven Seas Imports,Perth Pasties
Eastern                                           ,1996,728.0000,Produce,Seven Seas Imports,Rssle Sauerkraut
Eastern                                           ,1996,114.0000,Seafood,Seven Seas Imports,Rogede sild
Eastern                                           ,1996,4216.0000,Beverages,Split Rail Beer & Ale,Cte de Blaye
Eastern                                           ,1996,80.0000,Confections,Split Rail Beer & Ale,Scottish Longbreads
Eastern                                           ,1996,73.0000,Confections,Split Rail Beer & Ale,Teatime Chocolate Biscuits
Eastern                                           ,1996,544.0000,Dairy Products,Split Rail Beer & Ale,Camembert Pierrot
Eastern                                           ,1996,364.8000,Grains/Cereals,Split Rail Beer & Ale,Gnocchi di nonna Alice
