RegionDescription,AÑO,CategoryName,CompanyName,ProductName,CANTIDAD
Eastern                                           ,1996,Beverages,Berglunds snabbkp,Guaran Fantstica,43.2000
Eastern                                           ,1996,Beverages,Berglunds snabbkp,Rhnbru Klosterbier,186.0000
Eastern                                           ,1996,Beverages,Blido Comidas preparadas,Rhnbru Klosterbier,310.0000
Eastern                                           ,1996,Beverages,Blondesddsl pre et fils,Chartreuse verte,864.0000
Eastern                                           ,1996,Beverages,Blondesddsl pre et fils,Cte de Blaye,2108.0000
Eastern                                           ,1996,Beverages,Blondesddsl pre et fils,Outback Lager,240.0000
Eastern                                           ,1996,Beverages,Bon app',Ipoh Coffee,1472.0000
Eastern                                           ,1996,Beverages,Bottom-Dollar Markets,Outback Lager,360.0000
Eastern                                           ,1996,Beverages,Chop-suey Chinese,Guaran Fantstica,54.0000
Eastern                                           ,1996,Beverages,Die Wandernde Kuh,Chai,216.0000
Eastern                                           ,1996,Beverages,Die Wandernde Kuh,Ipoh Coffee,883.2000
Eastern                                           ,1996,Beverages,Die Wandernde Kuh,Rhnbru Klosterbier,62.0000
Eastern                                           ,1996,Beverages,Drachenblut Delikatessen,Lakkalikri,172.8000
Eastern                                           ,1996,Beverages,Drachenblut Delikatessen,Rhnbru Klosterbier,74.4000
Eastern                                           ,1996,Beverages,Ernst Handel,Chang,760.0000
Eastern                                           ,1996,Beverages,Ernst Handel,Cte de Blaye,4216.0000
Eastern                                           ,1996,Beverages,Familia Arquibaldo,Chartreuse verte,720.0000
Eastern                                           ,1996,Beverages,Familia Arquibaldo,Rhnbru Klosterbier,37.2000
Eastern                                           ,1996,Beverages,Folk och f HB,Chang,380.0000
Eastern                                           ,1996,Beverages,Frankenversand,Chang,364.8000
Eastern                                           ,1996,Beverages,Frankenversand,Lakkalikri,216.0000
Eastern                                           ,1996,Beverages,HILARION-Abastos,Chartreuse verte,86.4000
Eastern                                           ,1996,Beverages,Island Trading,Outback Lager,360.0000
Eastern                                           ,1996,Beverages,Island Trading,Sasquatch Ale,156.8000
Eastern                                           ,1996,Beverages,Kniglich Essen,Chartreuse verte,57.6000
Eastern                                           ,1996,Beverages,La maison d'Asie,Guaran Fantstica,36.0000
Eastern                                           ,1996,Beverages,La maison d'Asie,Sasquatch Ale,112.0000
Eastern                                           ,1996,Beverages,Lehmanns Marktstand,Lakkalikri,216.0000
Eastern                                           ,1996,Beverages,Lehmanns Marktstand,Laughing Lumberjack Lager,56.0000
Eastern                                           ,1996,Beverages,Magazzini Alimentari Riuniti,Guaran Fantstica,43.2000
Eastern                                           ,1996,Beverages,Ottilies Kseladen,Outback Lager,252.0000
Eastern                                           ,1996,Beverages,QUICK-Stop,Chai,648.0000
Eastern                                           ,1996,Beverages,QUICK-Stop,Chartreuse verte,777.6000
Eastern                                           ,1996,Beverages,Que Delcia,Steeleye Stout,288.0000
Eastern                                           ,1996,Beverages,Queen Cozinha,Cte de Blaye,8432.0000
Eastern                                           ,1996,Beverages,Rattlesnake Canyon Grocery,Chai,259.2000
Eastern                                           ,1996,Beverages,Rattlesnake Canyon Grocery,Ipoh Coffee,552.0000
Eastern                                           ,1996,Beverages,Rattlesnake Canyon Grocery,Rhnbru Klosterbier,37.2000
Eastern                                           ,1996,Beverages,Ricardo Adocicados,Outback Lager,240.0000
Eastern                                           ,1996,Beverages,Romero y tomillo,Guaran Fantstica,21.6000
Eastern                                           ,1996,Beverages,Romero y tomillo,Steeleye Stout,57.6000
Eastern                                           ,1996,Beverages,Sant Gourmet,Guaran Fantstica,54.0000
Eastern                                           ,1996,Beverages,Save-a-lot Markets,Chang,380.0000
Eastern                                           ,1996,Beverages,Save-a-lot Markets,Steeleye Stout,432.0000
Eastern                                           ,1996,Beverages,Seven Seas Imports,Chartreuse verte,288.0000
Eastern                                           ,1996,Beverages,Split Rail Beer & Ale,Cte de Blaye,4216.0000
Eastern                                           ,1996,Beverages,Suprmes dlices,Ipoh Coffee,441.6000
Eastern                                           ,1996,Beverages,Tortuga Restaurante,Guaran Fantstica,36.0000
Eastern                                           ,1996,Beverages,Tortuga Restaurante,Rhnbru Klosterbier,37.2000
Eastern                                           ,1996,Beverages,Wartian Herkku,Ipoh Coffee,920.0000
Eastern                                           ,1996,Condiments,Blido Comidas preparadas,Chef Anton's Cajun Seasoning,422.4000
Eastern                                           ,1996,Condiments,Ernst Handel,Chef Anton's Gumbo Mix,1649.0000
Eastern                                           ,1996,Condiments,Ernst Handel,Gula Malacca,1193.5000
Eastern                                           ,1996,Condiments,Ernst Handel,Louisiana Fiery Hot Pepper Sauce,168.0000
Eastern                                           ,1996,Condiments,Furia Bacalhau e Frutos do Mar,Louisiana Fiery Hot Pepper Sauce,672.0000
Eastern                                           ,1996,Condiments,HILARION-Abastos,Original Frankfurter grne Soe,156.0000
Eastern                                           ,1996,Condiments,Hanari Carnes,Louisiana Fiery Hot Pepper Sauce,252.0000
Eastern                                           ,1996,Condiments,Kniglich Essen,Genen Shouyu,62.0000
Eastern                                           ,1996,Condiments,Kniglich Essen,Grandma's Boysenberry Spread,120.0000
Eastern                                           ,1996,Condiments,Lehmanns Marktstand,Gula Malacca,325.5000
Eastern                                           ,1996,Condiments,Magazzini Alimentari Riuniti,Louisiana Hot Spiced Okra,408.0000
Eastern                                           ,1996,Condiments,Mre Paillarde,Chef Anton's Cajun Seasoning,176.0000
Eastern                                           ,1996,Condiments,QUICK-Stop,Northwoods Cranberry Sauce,2240.0000
Eastern                                           ,1996,Condiments,Que Delcia,Louisiana Fiery Hot Pepper Sauce,336.0000
Eastern                                           ,1996,Condiments,Que Delcia,Vegie-spread,561.6000
Eastern                                           ,1996,Condiments,Tortuga Restaurante,Vegie-spread,175.5000
